Any;Modalitat;Posici�;Jugador;Mitjana
2003;3 BANDES;1;GARC�A;0.549
2003;3 BANDES;2;L. GONZ�LEZ;0.456
2003;3 BANDES;3;J. GELABERT;0.401
2003;3 BANDES;4;J. SELGA;0.388
2003;3 BANDES;5;VIVAS;0.388
2003;3 BANDES;6;DONADEU;0.267
2003;3 BANDES;7;J. FERN�NDEZ;0.233
2003;3 BANDES;8;V. INOCENTES;0.220
2003;3 BANDES;9;PUIG;0.200
2003;3 BANDES;10;J.M. VIAPLANA;0.198
2003;3 BANDES;11;TARES;0.183
2003;3 BANDES;12;TABERNER;0.183
2003;3 BANDES;13;J. MIR;0.159
2003;3 BANDES;14;MAGRI�A;0.153
2003;3 BANDES;15;J. CABR�;0.148
2003;3 BANDES;16;A. MART�;0.095
2004;3 BANDES;1;J. SELGA;0.495
2004;3 BANDES;2;J. GELABERT;0.415
2004;3 BANDES;3;VIVAS;0.368
2004;3 BANDES;4;L. GONZ�LEZ;0.308
2004;3 BANDES;5;P. RUIZ;0.232
2004;3 BANDES;6;J. GRAU;0.228
2004;3 BANDES;7;PUIG;0.207
2004;3 BANDES;8;J. FERN�NDEZ;0.195
2004;3 BANDES;9;V. INOCENTES;0.176
2004;3 BANDES;10;TARES;0.140
2004;3 BANDES;11;A. MART�;0.120
2005;3 BANDES;1;J. SELGA;0.424
2005;3 BANDES;2;J. GELABERT;0.388
2005;3 BANDES;3;VIVAS;0.320
2005;3 BANDES;4;X. FINA;0.319
2005;3 BANDES;5;L. GONZ�LEZ;0.283
2005;3 BANDES;6;R. COLOM;0.269
2005;3 BANDES;7;J. FERN�NDEZ;0.243
2005;3 BANDES;8;V. INOCENTES;0.236
2005;3 BANDES;9;E. LE�N;0.229
2005;3 BANDES;10;PUIG;0.228
2005;3 BANDES;11;A. BERMEJO;0.220
2005;3 BANDES;12;J.M. VIAPLANA;0.173
2005;3 BANDES;13;P. RUIZ;0.116
2005;3 BANDES;14;TARES;0.218
2005;3 BANDES;15;J. MIR;0.214
2005;3 BANDES;16;J. CABR�;0.186
2005;3 BANDES;17;TABERNER;0.174
2005;3 BANDES;18;M. GIMENO;0.120
2005;3 BANDES;19;R. FINA;0.082
2005;3 BANDES;20;A. MART�;0.070
2006;3 BANDES;1;J. GELABERT;0.336
2006;3 BANDES;2;X. FINA;0.333
2006;3 BANDES;3;J. SELGA;0.331
2006;3 BANDES;4;A. BERMEJO;0.329
2006;3 BANDES;5;L. GONZ�LEZ;0.325
2006;3 BANDES;6;PUIG;0.274
2006;3 BANDES;7;E. LE�N;0.271
2006;3 BANDES;8;J. GRAU;0.264
2006;3 BANDES;9;V. INOCENTES;0.259
2006;3 BANDES;10;J. FERN�NDEZ;0.237
2006;3 BANDES;11;R. COLOM;0.219
2006;3 BANDES;12;REAL;0.196
2006;3 BANDES;13;P. RUIZ;0.235
2006;3 BANDES;14;TARES;0.213
2006;3 BANDES;15;J. MIR;0.177
2006;3 BANDES;16;J.M. VIAPLANA;0.174
2006;3 BANDES;17;P. SERRA;0.167
2006;3 BANDES;18;M. GIMENO;0.149
2006;3 BANDES;19;J. CABR�;0.120
2006;3 BANDES;20;QUEVEDO;0.116
2007;3 BANDES;1;J. SELGA;0.453
2007;3 BANDES;2;G. GIM�NEZ;0.394
2007;3 BANDES;3;J. GELABERT;0.379
2007;3 BANDES;4;E. LE�N;0.335
2007;3 BANDES;5;L. GONZ�LEZ;0.313
2007;3 BANDES;6;M. PALAU;0.298
2007;3 BANDES;7;J. SELGAS;0.287
2007;3 BANDES;8;A. BERMEJO;0.277
2007;3 BANDES;9;X. FINA;0.253
2007;3 BANDES;10;PUIG;0.254
2007;3 BANDES;11;V. INOCENTES;0.242
2007;3 BANDES;12;R. COLOM;0.204
2007;3 BANDES;13;J. FERN�NDEZ;0.182
2007;3 BANDES;14;J. CARRASCO;0.169
2007;3 BANDES;15;M. GIMENO;0.208
2007;3 BANDES;16;REAL;0.208
2007;3 BANDES;17;BARRIENTOS;0.199
2007;3 BANDES;18;J. CABR�;0.136
2007;3 BANDES;19;QUEVEDO;0.100
2007;3 BANDES;20;A. MART�;0.074
2008;3 BANDES;1;ALBARRACIN;0.530
2008;3 BANDES;2;DURAN;0.500
2008;3 BANDES;3;L. GONZ�LEZ;0.450
2008;3 BANDES;4;A. CASTILLO;0.410
2008;3 BANDES;5;G. GIM�NEZ;0.400
2008;3 BANDES;6;C. VIDAL;0.370
2008;3 BANDES;7;R. COLOM;0.320
2008;3 BANDES;8;J. ROVIROSA;0.300
2008;3 BANDES;9;J. GRAU;0.280
2008;3 BANDES;10;VIVAS;0.274
2008;3 BANDES;11;L. GONZ�LEZ;0.272
2008;3 BANDES;12;J. GELABERT;0.271
2008;3 BANDES;13;M. PALAU;0.260
2008;3 BANDES;14;V. INOCENTES;0.240
2008;3 BANDES;15;J. SELGAS;0.140
2008;3 BANDES;16;TARES;0.220
2008;3 BANDES;17;HERN�NDEZ;0.200
2008;3 BANDES;18;J.M. VIAPLANA;0.180
2008;3 BANDES;19;BARRIENTOS;0.170
2008;3 BANDES;20;J. VALL�S;0.145
2008;3 BANDES;21;J. CABR�;0.144
2008;3 BANDES;22;J. CARRASCO;0.110
2009;3 BANDES;1;L. GONZ�LEZ;0.550
2009;3 BANDES;2;DURAN;0.460
2009;3 BANDES;3;J. SELGA;0.387
2009;3 BANDES;4;J. GELABERT;0.382
2009;3 BANDES;5;A. CASTILLO;0.377
